Date,Price
2024-03-02,115.537
2024-03-05,115.5803
2024-03-06,115.7555
2024-03-07,115.0224
2024-03-08,115.6418
2024-03-12,116.7343
2024-03-13,116.3741
2024-03-14,117.031
2024-03-15,117.2665
2024-03-16,117.1067
2024-03-19,117.1862
2024-03-20,117.4292
2024-03-21,117.8133
2024-03-22,116.8775
2024-03-23,117.3206
2024-03-26,116.9072
2024-03-27,117.0605
2024-03-28,116.9251
2024-03-29,116.5187
2024-03-30,116.649
2024-04-02,116.5548
