Date,Price
2023-11-23,96.1475
2023-11-24,96.2273
2023-11-25,96.9187
2023-11-28,97.1594
2023-11-29,97.0659
2023-11-30,97.6503
2023-12-01,96.8827
2023-12-02,97.9126
2023-12-05,98.5768
2023-12-06,99.134
2023-12-07,100.1353
2023-12-08,99.8131
2023-12-09,98.8409
2023-12-12,98.0769
2023-12-13,97.403
2023-12-14,96.95
2023-12-15,97.7377
2023-12-16,98.4186
2023-12-19,98.7578
2023-12-20,98.5764
2023-12-21,99.048
2023-12-22,100.5113
2023-12-23,101.2863
2023-12-26,101.5781
2023-12-27,101.1178
2023-12-28,101.3451
2023-12-29,100.5506
2023-12-30,99.1919
2024-01-10,98.9825
2024-01-11,97.8745
2024-01-12,97.5401
2024-01-13,96.7517
2024-01-16,96.0682
2024-01-17,95.6007
2024-01-18,96.0531
2024-01-19,96.5882
2024-01-20,96.3835
2024-01-23,95.8854
2024-01-24,95.8266
2024-01-25,96.1657
2024-01-26,96.6365
2024-01-27,97.0945
2024-01-30,96.9777
2024-01-31,96.7895
2024-02-01,97.1149
2024-02-02,97.4009
2024-02-03,98.6437
2024-02-06,98.2279
2024-02-07,97.444
2024-02-08,98.0936
2024-02-09,98.3543
2024-02-10,97.9364
2024-02-13,98.1512
2024-02-14,98.1917
2024-02-15,97.8133
2024-02-16,98.4099
2024-02-17,99.3523
2024-02-20,99.4889
2024-02-21,99.5589
2024-02-22,99.8968
2024-02-23,100.4425
2024-02-27,100.1776
2024-02-28,99.9214
2024-02-29,99.45
2024-03-01,98.5447
2024-03-02,98.7225
2024-03-05,99.1061
2024-03-06,98.9366
2024-03-07,98.2017
2024-03-08,98.8767
2024-03-12,99.1317
2024-03-13,99.3561
2024-03-14,100.1869
2024-03-15,100.2625
2024-03-16,99.9718
2024-03-19,100.2432
2024-03-20,100.1047
2024-03-21,100.6139
2024-03-22,100.365
2024-03-23,100.217
2024-03-26,100.3651
2024-03-27,100.4121
2024-03-28,100.2704
2024-03-29,99.7057
2024-03-30,99.5299
2024-04-02,99.5661
