<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
Сбербанк;D;2022-04-20;000000;121;125.44;117.51;121.5;66603200;8136201185.3
Сбербанк;D;2022-04-21;000000;121.97;123.05;117.85;118.65;40648560;4864876092.9
Сбербанк;D;2022-04-22;000000;118.65;122.32;115.55;116.97;57466590;6798689067.5
Сбербанк;D;2022-04-23;000000;116.97;116.97;116.97;116.97;0;0
Сбербанк;D;2022-04-24;000000;116.97;116.97;116.97;116.97;0;0
Сбербанк;D;2022-04-25;000000;116;116.4;111.5;111.9;45811390;5179109798.5
Сбербанк;D;2022-04-26;000000;112.58;124.92;111.9;122.36;83540530;9832906106.8
Сбербанк;D;2022-04-27;000000;123;131.73;120.6;131.11;115500050;14832382819.5
Сбербанк;D;2022-04-28;000000;132.14;134.5;123.05;123.85;123541890;16007384988.2
Сбербанк;D;2022-04-29;000000;123.67;130;122.8;128.8;87366110;11075903085.1
Сбербанк;D;2022-04-30;000000;128.8;128.8;128.8;128.8;0;0
Сбербанк;D;2022-05-01;000000;128.8;128.8;128.8;128.8;0;0
Сбербанк;D;2022-05-02;000000;128.8;128.8;128.8;128.8;0;0
Сбербанк;D;2022-05-03;000000;128.8;128.8;128.8;128.8;0;0
Сбербанк;D;2022-05-04;000000;129.1;131.5;122.5;123.2;67289000;8444076353.1
Сбербанк;D;2022-05-05;000000;124.21;125.54;122.75;124.8;42383000;5266724459.4
Сбербанк;D;2022-05-06;000000;124.74;124.99;121.52;123.1;30602500;3758705967.7
Сбербанк;D;2022-05-07;000000;123.1;123.1;123.1;123.1;0;0
Сбербанк;D;2022-05-08;000000;123.1;123.1;123.1;123.1;0;0
Сбербанк;D;2022-05-09;000000;123.1;123.1;123.1;123.1;0;0
Сбербанк;D;2022-05-10;000000;123.1;123.1;123.1;123.1;0;0
Сбербанк;D;2022-05-11;000000;123;126.05;121.86;123.34;32870440;4074118445.5
Сбербанк;D;2022-05-12;000000;123.1;123.74;118.05;119.15;30846460;3736761907.6
Сбербанк;D;2022-05-13;000000;120.45;121.59;118.2;120.2;22838020;2743261781.4
Сбербанк;D;2022-05-14;000000;120.2;120.2;120.2;120.2;0;0
Сбербанк;D;2022-05-15;000000;120.2;120.2;120.2;120.2;0;0
Сбербанк;D;2022-05-16;000000;120.9;123.5;119.5;123.41;34940660;4270982372.6
Сбербанк;D;2022-05-17;000000;124;127.78;123.65;127.75;41963590;5288189358.3
Сбербанк;D;2022-05-18;000000;128.2;131.3;125;125.12;55565940;7149065642.2
Сбербанк;D;2022-05-19;000000;125.31;126.86;123.21;125.6;34246550;4282808065.6
Сбербанк;D;2022-05-20;000000;126.06;127;121.05;122.2;39288280;4854130253.9
Сбербанк;D;2022-05-21;000000;122.2;122.2;122.2;122.2;0;0
Сбербанк;D;2022-05-22;000000;122.2;122.2;122.2;122.2;0;0
Сбербанк;D;2022-05-23;000000;121.5;122.5;118.9;119.46;37976200;4587986948.8
Сбербанк;D;2022-05-24;000000;119.45;125;117.1;123.6;45164830;5467479952.3
Сбербанк;D;2022-05-25;000000;124.11;125.5;120.5;124.15;53511900;6588459652.6
Сбербанк;D;2022-05-26;000000;124.8;125.99;122;123;51985140;6438132740.8
Сбербанк;D;2022-05-27;000000;123;123.5;120.9;121.22;32685350;3981861287.2
Сбербанк;D;2022-05-28;000000;121.22;121.22;121.22;121.22;0;0
Сбербанк;D;2022-05-29;000000;121.22;121.22;121.22;121.22;0;0
Сбербанк;D;2022-05-30;000000;121.6;123;120.21;120.67;24957710;3035846751.9
Сбербанк;D;2022-05-31;000000;120;120;117.62;118.3;29983170;3557831216.3
Сбербанк;D;2022-06-01;000000;117.5;122.69;117;121.97;43785040;5296798375.3
Сбербанк;D;2022-06-02;000000;121.9;122.39;118.5;119;42769900;5125256938.4
Сбербанк;D;2022-06-03;000000;119.29;120.16;117.18;119.21;34341530;4067212982.5
Сбербанк;D;2022-06-04;000000;119.21;119.21;119.21;119.21;0;0
Сбербанк;D;2022-06-05;000000;119.21;119.21;119.21;119.21;0;0
Сбербанк;D;2022-06-06;000000;119.26;120.35;118.29;118.78;22281970;2652231034.2
Сбербанк;D;2022-06-07;000000;118.68;118.9;117.32;118.32;22274020;2629117760.2
Сбербанк;D;2022-06-08;000000;118.51;122.19;118.4;119.9;41514970;5003858591.9
Сбербанк;D;2022-06-09;000000;120;120.2;117.7;118.2;29371970;3477327986.1
Сбербанк;D;2022-06-10;000000;118.03;119.55;117.73;118.07;25373000;3006397517.2
Сбербанк;D;2022-06-11;000000;118.07;118.07;118.07;118.07;0;0
Сбербанк;D;2022-06-12;000000;118.07;118.07;118.07;118.07;0;0
Сбербанк;D;2022-06-13;000000;118.07;118.07;118.07;118.07;0;0
Сбербанк;D;2022-06-14;000000;118.03;119.88;115.8;118.98;37690460;4454820677.7
Сбербанк;D;2022-06-15;000000;119.4;121.71;118.71;121.14;52262500;6293254524.8
Сбербанк;D;2022-06-16;000000;121.5;123.73;120.41;123.73;47921410;5865468454
Сбербанк;D;2022-06-17;000000;123.97;125.18;123.11;123.88;36608520;4542499796
Сбербанк;D;2022-06-18;000000;123.88;123.88;123.88;123.88;0;0
Сбербанк;D;2022-06-19;000000;123.88;123.88;123.88;123.88;0;0
Сбербанк;D;2022-06-20;000000;124.1;131.5;123.6;131.29;65683460;8358193641.7
Сбербанк;D;2022-06-21;000000;131.98;133.49;127.11;129.1;75565750;9779358224
Сбербанк;D;2022-06-22;000000;127.88;133.21;126.03;133.11;67799070;8798787966.1
Сбербанк;D;2022-06-23;000000;133.9;138.4;131.5;136.85;108118920;14709729514.2
Сбербанк;D;2022-06-24;000000;137.16;138.3;135.21;137.76;45254820;6186219567.5
Сбербанк;D;2022-06-25;000000;137.76;137.76;137.76;137.76;0;0
